id,year,month,category,type,amount
314,2026,4,代付,expense,747.0
315,2026,4,加油,expense,220.0
316,2026,4,服飾配件,expense,205.0
317,2026,4,其他,income,87094.16
318,2026,4,通勤交通,expense,215.0
319,2026,4,網路雲端服務,expense,90.0
320,2026,4,現金回饋,income,116.0
321,2026,4,約會/請客,expense,105.0
322,2026,5,飲食,expense,1015.0
323,2026,5,通勤交通,expense,757.0
324,2026,5,加油,expense,227.0
325,2026,5,約會/請客,expense,1076.0
326,2026,5,服飾配件,expense,751.0
327,2026,5,其他,expense,300.0
328,2026,5,網路雲端服務,expense,90.0
329,2026,5,其他,income,197308.01
330,2026,5,代付,expense,158.0
331,2026,6,影印,expense,20.0
332,2026,6,通勤交通,expense,637.0
333,2026,6,日用品,expense,150.0
334,2026,6,飲食,expense,320.0
335,2026,6,其他,expense,74.0
336,2026,6,股票盈利,income,179.0
337,2026,6,約會/請客,expense,445.0
338,2026,6,加油,expense,117.0
