日期,從帳戶,轉出金額,幣別,到帳戶,轉入金額,幣別,標籤,備註,上次更新,UUID
20260601,國泰子帳戶,3641,TWD,TW,3641,TWD,,買進(6239.TW:力成),2026-05-28 14:43:34,S_96DC33E5-1FF9-4B6F-848C-6D756CDF92E2
20260601,TW,16993,TWD,國泰子帳戶,16993,TWD,,賣出(2464.TW:盟立),2026-05-28 14:41:46,S_1474A8B0-E0E6-4788-9816-BA52AADC6582
20260529,中信,32000,TWD,Bankee,32000,TWD,,,2026-05-29 13:10:08,425E5DA2-D478-4628-A9AE-1CD6375D58D3
20260529,國泰子帳戶,730,TWD,TW,730,TWD,,買進(00690.TW:兆豐藍籌30),2026-05-29 10:44:15,S_5072E9D2-7840-4A55-892D-4BD3C6DDFE72
20260529,國泰子帳戶,310,TWD,TW,310,TWD,,買進(0050.TW:元大台灣50),2026-05-29 10:43:10,S_08133996-FFAA-49BB-A94D-4EBB981606FB
20260528,國泰子帳戶,16956,TWD,TW,16956,TWD,,買進(2464.TW:盟立),2026-05-26 10:45:29,S_1BCB87C7-9231-4A6D-A7ED-7E0AF7EE4A0E
20260528,國泰子帳戶,8642,TWD,TW,8642,TWD,,買進(2454.TW:聯發科),2026-05-26 10:43:44,S_0E201254-3BD3-4A84-A6B4-9225903FEE84
20260527,Bankee,23049,TWD,國泰子帳戶,23049,TWD,,,2026-05-27 09:15:44,0F1A7867-4E1C-4E94-B335-81F854130F19
20260527,國泰子帳戶,302,TWD,TW,302,TWD,,買進(0050.TW:元大台灣50),2026-05-25 16:58:34,S_335845CF-1376-4DA9-B13F-BDF4A0786FFC
20260527,TW,4142,TWD,國泰子帳戶,4142,TWD,,賣出(00981A.TW:主動統一台股增長),2026-05-25 16:51:36,S_3EA59631-C719-4F43-878F-FA1226488827
20260527,國泰子帳戶,14404,TWD,TW,14404,TWD,,買進(00981A.TW:主動統一台股增長),2026-05-25 16:48:25,S_C8EA33F8-3601-40EF-A74A-A8FEB3D2642A
20260527,國泰子帳戶,100187,TWD,TW,100187,TWD,,買進(2330.TW:台積電),2026-05-25 16:44:55,S_08DBD84E-9A10-4815-80A4-92AF01EDF055
20260527,國泰子帳戶,37241,TWD,TW,37241,TWD,,買進(00923.TW:群益台ESG低碳50),2026-05-25 16:40:19,S_53F499A0-55C1-4CA6-B31C-D68AA6CDB795
20260527,國泰子帳戶,6734,TWD,TW,6734,TWD,,買進(00690.TW:兆豐藍籌30),2026-05-25 16:33:59,S_467AC192-F298-44E7-BB59-866B12230E92
20260527,國泰子帳戶,49330,TWD,TW,49330,TWD,,買進(0050.TW:元大台灣50),2026-05-25 16:26:40,S_446902D2-AA8D-4984-AE54-29D0EC5177B4
20260527,國泰子帳戶,302,TWD,元大台50,302,TWD,,買進(0050.TW:元大台灣50),2026-05-25 16:11:29,S_8C88F981-B5A6-4232-84AB-0ABF3F2077CB
20260525,郵局,500,TWD,台新活儲戶,500,TWD,,,2026-05-25 23:54:31,78677B7F-1644-49F4-B3F5-F865D6072FDA
20260525,台新活儲戶,10367,TWD,台新美元,329,USD,,,2026-05-25 23:53:58,B780539D-9E2E-4A0E-B0BD-620C5EA5ABDC
20260525,國泰子帳戶,6902,TWD,CUBE COMBO,6902,TWD,,自動繳款[4月09日〜5月08日],2026-05-25 17:29:06,FC2502A1-9D91-47DA-B136-E6037774C5E1
20260522,Bankee,2677,TWD,BT21,2677,TWD,,自動繳款[4月07日〜5月06日],2026-05-25 17:09:58,28DA80CF-ECCD-4F4F-A9C0-C0D90FEE6E3A
20260521,中信,23567,TWD,Bankee,23567,TWD,,,2026-07-03 13:15:39,E75C2350-B66D-4CEA-B2CD-216292643AC5
20260521,國泰子帳戶,376,TWD,元大台50,376,TWD,,買進(0050.TW:元大台灣50),2026-05-25 16:13:30,S_B11EFAA2-E373-4563-8664-3FC1BDEFA9EF
20260520,Bankee,2000,TWD,錢包,2000,TWD,,,2026-05-20 23:42:50,2C02D6F1-41EC-44CC-BC1C-0F0FBB5CD7E2
20260520,統一增長,1375,TWD,國泰子帳戶,1375,TWD,,賣出(00981A.TW:主動統一台股增長),2026-05-19 10:01:12,S_2FF6B9DD-FC9D-4F1C-A137-F67F50C6D611
20260520,統一增長,2767,TWD,國泰子帳戶,2767,TWD,,賣出(00981A.TW:主動統一台股增長),2026-05-19 10:00:15,S_9FEF2F8A-7EE7-4119-9E42-FF59E8502473
20260520,國泰子帳戶,378,TWD,元大台50,378,TWD,,買入(0050.TW:元大台灣50),2026-05-19 09:58:19,S_1A0A7BB8-8F84-47F8-8613-832F224E9C5F
20260520,國泰子帳戶,378,TWD,元大台50,378,TWD,,買入(0050.TW:元大台灣50),2026-05-19 09:57:34,S_8F124FAA-F78E-449F-9865-8C8239EA0B3E
20260519,國泰子帳戶,3633,TWD,統一增長,3633,TWD,,買入(00981A.TW:主動統一台股增長),2026-05-15 14:40:29,S_EDD2D54B-9678-48FF-AE5C-427B7AE776E9
20260519,國泰子帳戶,2886,TWD,統一增長,2886,TWD,,買入(00981A.TW:主動統一台股增長),2026-05-15 14:40:03,S_DE5DFBF3-8D03-4885-B8FC-95E802F02417
20260519,國泰子帳戶,2880,TWD,統一增長,2880,TWD,,買入(00981A.TW:主動統一台股增長),2026-05-15 14:39:36,S_AD71F051-9A48-4EE8-B7FA-5419831AE719
20260518,郵局,10603,TWD,Bankee,10603,TWD,,,2026-05-18 10:10:28,B92B02BC-2E65-4A81-AA76-12E447F644D0
20260517,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2026-05-25 17:11:47,6DE7E463-A21B-43FA-ABDF-4C964011B262
20260515,郵局,6000,TWD,國泰子帳戶,6000,TWD,,,2026-05-15 20:16:53,48D0E1DB-F001-40AE-8BD2-5AF510A859FB
20260513,國泰子帳戶,388,TWD,元大台50,388,TWD,,買入(0050.TW:元大台灣50),2026-05-12 08:40:46,S_70785826-4B14-46B8-92C8-52C6C90D89BA
20260512,國泰子帳戶,2896,TWD,統一增長,2896,TWD,,買入(00981A.TW:主動統一台股增長),2026-05-12 08:44:00,S_D2B0884A-9687-4B75-B182-A3E018BCAF34
20260512,國泰子帳戶,1449,TWD,統一增長,1449,TWD,,買入(00981A.TW:主動統一台股增長),2026-05-12 08:43:17,S_CEF3E74F-65AC-4F5C-AA72-208672AB3DB8
20260509,中信,2000,TWD,錢包,2000,TWD,,,2026-05-09 12:34:12,3FF09918-567D-4E60-931F-CE1D9619DF82
